InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
557324,51014L,"FEATHER PEN,LIGHT PINK",1.0,6/20/2011 9:41,0.83,,United Kingdom
566482,23087,ZINC  HEART T-LIGHT HOLDER,16.0,9/13/2011 9:43,1.25,16609.0,United Kingdom
574074,23380,PACK OF 12 VINTAGE DOILY TISSUES,1.0,11/2/2011 15:33,0.83,,United Kingdom
571183,23501,KEY RING BASEBALL BOOT UNION JACK,6.0,10/14/2011 11:08,1.25,14796.0,United Kingdom
551822,21231,SWEETHEART CERAMIC TRINKET BOX,8.0,5/4/2011 12:26,1.25,13524.0,United Kingdom
553718,21025,SPACE FROG,1.0,5/18/2011 16:14,2.46,,United Kingdom
563734,23309,SET OF 60 I LOVE LONDON CAKE CASES ,12.0,8/18/2011 18:11,0.55,14064.0,United Kingdom
546406,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,2.0,3/11/2011 16:21,2.5,,United Kingdom
561894,21755,LOVE BUILDING BLOCK WORD,1.0,7/31/2011 15:00,5.95,14456.0,United Kingdom
574555,22809,SET OF 6 T-LIGHTS SANTA,1.0,11/4/2011 15:29,2.95,16426.0,United Kingdom
564856,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,8.0,8/31/2011 9:11,3.29,12477.0,Germany
547567,20749,ASSORTED COLOUR MINI CASES,2.0,3/24/2011 9:44,7.95,17644.0,United Kingdom
546486,22151,PLACE SETTING WHITE HEART,24.0,3/14/2011 11:41,0.42,15039.0,United Kingdom
554707,22900, SET 2 TEA TOWELS I LOVE LONDON ,100.0,5/26/2011 10:15,2.55,14101.0,United Kingdom
539607,22312,OFFICE MUG WARMER POLKADOT,12.0,12/20/2010 14:10,2.95,12681.0,France
551218,22993,SET OF 4 PANTRY JELLY MOULDS,6.0,4/27/2011 11:41,1.25,18077.0,United Kingdom
572520,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24.0,10/24/2011 15:05,0.29,13165.0,United Kingdom
562843,23296,SET OF 6 TEA TIME BAKING CASES,2.0,8/9/2011 17:37,3.29,,United Kingdom
566164,22356,CHARLOTTE BAG PINK POLKADOT,20.0,9/9/2011 11:56,2.46,,United Kingdom
574444,47591D,PINK FAIRY CAKE CHILDRENS APRON,2.0,11/4/2011 11:41,1.95,18122.0,United Kingdom
555405,23283,DOORMAT VINTAGE LEAVES DESIGN ,2.0,6/2/2011 19:17,7.95,17531.0,United Kingdom
537224,22110,BIRD HOUSE HOT WATER BOTTLE,3.0,12/5/2010 16:24,2.55,13174.0,United Kingdom
545579,22289,HANGING METAL CHICKEN DECORATION,24.0,3/4/2011 8:10,1.25,17508.0,Greece
573407,22306,SILVER MUG BONE CHINA TREE OF LIFE,12.0,10/30/2011 15:58,1.06,18067.0,United Kingdom
556682,85017B,ENVELOPE 50 BLOSSOM IMAGES,12.0,6/14/2011 9:42,0.85,15358.0,United Kingdom
578998,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,2.0,11/27/2011 16:05,0.42,15436.0,United Kingdom
550638,22859,EASTER TIN BUNNY BOUQUET,1.0,4/19/2011 15:44,3.29,,United Kingdom
561034,21907,I'M ON HOLIDAY METAL SIGN,2.0,7/24/2011 11:45,2.1,15506.0,United Kingdom
540646,22988,SOLDIERS EGG CUP ,2.0,1/10/2011 14:32,2.51,,United Kingdom
551152,84993B,75 BLACK PETIT FOUR CASES,1.0,4/26/2011 14:47,0.42,13230.0,United Kingdom
555510,22605,WOODEN CROQUET GARDEN SET,1.0,6/3/2011 17:09,24.96,,United Kingdom
570521,22398,MAGNETS PACK OF 4 SWALLOWS,12.0,10/11/2011 10:43,0.39,12371.0,Switzerland
574020,23084,RABBIT NIGHT LIGHT,6.0,11/2/2011 12:15,2.08,14673.0,United Kingdom
555735,21499,BLUE POLKADOT WRAP,25.0,6/7/2011 8:54,0.42,13327.0,United Kingdom
549012,22989,SET 2 PANTRY DESIGN TEA TOWELS,6.0,4/5/2011 14:51,3.25,16394.0,United Kingdom
537638,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,3.0,12/7/2010 15:28,1.66,,United Kingdom
539034,21257,VICTORIAN SEWING BOX MEDIUM,1.0,12/15/2010 14:29,7.95,16161.0,United Kingdom
579297,20963,APPLE BATH SPONGE,1.0,11/29/2011 11:23,2.46,,United Kingdom
578977,22580,ADVENT CALENDAR GINGHAM SACK,3.0,11/27/2011 15:18,5.95,17231.0,United Kingdom
562789,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,32.0,8/9/2011 13:50,2.55,14646.0,Netherlands
573112,23347,I LOVE LONDON BEAKER,16.0,10/27/2011 15:33,1.25,16416.0,United Kingdom
545648,22131,FOOD CONTAINER SET 3 LOVE HEART ,6.0,3/4/2011 13:09,1.95,17325.0,United Kingdom
572296,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1.0,10/23/2011 14:28,4.95,13598.0,United Kingdom
556484,22750,FELTCRAFT PRINCESS LOLA DOLL,1.0,6/12/2011 13:17,3.75,16938.0,United Kingdom
539459,22189,CREAM HEART CARD HOLDER,11.0,12/17/2010 17:33,3.95,12839.0,United Kingdom
542542,21244,BLUE POLKADOT PLATE ,8.0,1/28/2011 14:37,1.69,12431.0,Australia
578347,23294,SET OF 6 SNACK LOAF BAKING CASES,1.0,11/24/2011 9:26,2.46,,United Kingdom
577252,22633,HAND WARMER UNION JACK,1.0,11/18/2011 12:22,2.1,18034.0,United Kingdom
562918,23300,GARDENERS KNEELING PAD CUP OF TEA ,12.0,8/10/2011 13:51,1.65,15615.0,United Kingdom
579162,22988,SOLDIERS EGG CUP ,4.0,11/28/2011 13:58,1.25,16393.0,United Kingdom
560444,47590B,PINK HAPPY BIRTHDAY BUNTING,2.0,7/18/2011 17:15,5.45,13764.0,United Kingdom
553162,20707,CRAZY DAISY HEART DECORATION,1.0,5/13/2011 15:53,0.83,,United Kingdom
576329,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,6.0,11/14/2011 15:22,1.25,,United Kingdom
556576,22365,DOORMAT RESPECTABLE HOUSE,1.0,6/13/2011 13:55,7.95,14606.0,United Kingdom
543450,21328,BALLOONS  WRITING SET ,1.0,2/8/2011 12:12,3.29,,United Kingdom
541104,22378,WALL TIDY RETROSPOT ,5.0,1/13/2011 14:29,1.63,,United Kingdom
569216,22996,TRAVEL CARD WALLET VINTAGE TICKET,5.0,10/2/2011 12:41,0.42,15555.0,United Kingdom
539436,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1.0,12/17/2010 14:49,1.66,,United Kingdom
565232,22752,SET 7 BABUSHKA NESTING BOXES,1.0,9/2/2011 9:30,16.63,,United Kingdom
572452,21121,SET/10 RED POLKADOT PARTY CANDLES,24.0,10/24/2011 12:36,1.25,12921.0,United Kingdom
578263,21015,DARK BIRD HOUSE TREE DECORATION,24.0,11/23/2011 13:27,0.29,17422.0,United Kingdom
561093,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,12.0,7/25/2011 10:01,1.25,12540.0,Spain
536638,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2.0,12/2/2010 11:41,7.95,16244.0,United Kingdom
543800,21756,BATH BUILDING BLOCK WORD,3.0,2/13/2011 11:36,5.95,17282.0,United Kingdom
C574957,23084,RABBIT NIGHT LIGHT,-5.0,11/8/2011 9:57,2.08,17924.0,United Kingdom
554157,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2.0,5/23/2011 11:33,0.85,18283.0,United Kingdom
563088,22481,BLACK TEA TOWEL CLASSIC DESIGN,2.0,8/11/2011 16:51,1.25,,United Kingdom
537823,85014B,RED RETROSPOT UMBRELLA,3.0,12/8/2010 14:25,12.72,,United Kingdom
542542,22729,ALARM CLOCK BAKELIKE ORANGE,4.0,1/28/2011 14:37,3.75,12431.0,Australia
572520,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10.0,10/24/2011 15:05,0.79,13165.0,United Kingdom
564825,22679,FRENCH BLUE METAL DOOR SIGN 4,1.0,8/30/2011 12:26,2.46,,United Kingdom
554514,21915,RED  HARMONICA IN BOX ,1.0,5/24/2011 15:58,2.46,,United Kingdom
558475,23200,JUMBO BAG PEARS,2.0,6/29/2011 15:58,4.13,,United Kingdom
575176,22968,ROSE COTTAGE KEEPSAKE BOX ,3.0,11/8/2011 18:29,19.96,,United Kingdom
540821,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,1.0,1/11/2011 13:16,1.66,,United Kingdom
573070,82482,WOODEN PICTURE FRAME WHITE FINISH,3.0,10/27/2011 13:59,2.95,13263.0,United Kingdom
539451,22185,SLATE TILE NATURAL HANGING,1.0,12/17/2010 16:59,3.36,,United Kingdom
557892,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1.0,6/23/2011 14:11,1.65,14534.0,United Kingdom
568919,23377,PACK OF 12 DOLLY GIRL TISSUES,12.0,9/29/2011 14:38,0.39,12937.0,United Kingdom
567236,22941,CHRISTMAS LIGHTS 10 REINDEER,2.0,9/19/2011 11:33,8.5,14735.0,United Kingdom
548011,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,48.0,3/29/2011 11:14,2.55,14646.0,Netherlands
552857,21544,SKULLS  WATER TRANSFER TATTOOS ,5.0,5/11/2011 15:34,1.63,,United Kingdom
541524,22517,CHILDS GARDEN RAKE PINK,6.0,1/19/2011 10:49,2.1,17091.0,United Kingdom
556079,23207,LUNCH BAG ALPHABET DESIGN,10.0,6/8/2011 15:18,1.65,18229.0,United Kingdom
538419,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1.0,12/12/2010 12:01,4.95,16367.0,United Kingdom
571189,23350,ROLL WRAP VINTAGE SPOT ,12.0,10/14/2011 11:42,1.25,13213.0,United Kingdom
578347,84832,ZINC WILLIE WINKIE  CANDLE STICK,1.0,11/24/2011 9:26,1.63,,United Kingdom
565129,82494L,WOODEN FRAME ANTIQUE WHITE ,3.0,9/1/2011 12:41,2.95,15719.0,United Kingdom
557888,23091,ZINC HERB GARDEN CONTAINER,1.0,6/23/2011 13:51,6.25,14656.0,United Kingdom
555648,21534,DAIRY MAID LARGE MILK JUG,1.0,6/6/2011 13:46,4.95,14623.0,United Kingdom
543806,22502,PICNIC BASKET WICKER SMALL,2.0,2/13/2011 12:48,5.95,17085.0,United Kingdom
565368,21784,,1.0,9/2/2011 14:59,0.0,,United Kingdom
568680,84879,ASSORTED COLOUR BIRD ORNAMENT,8.0,9/28/2011 14:10,1.69,18265.0,United Kingdom
559162,22279,POCKET BAG BLUE PAISLEY RED SPOT,1.0,7/6/2011 16:29,0.83,,United Kingdom
562204,90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,1.0,8/3/2011 12:54,8.5,16324.0,United Kingdom
575760,23320,GIANT 50'S CHRISTMAS CRACKER,2.0,11/11/2011 10:50,2.89,15965.0,United Kingdom
575754,23354,6 GIFT TAGS 50'S CHRISTMAS ,6.0,11/11/2011 10:43,0.83,17295.0,United Kingdom
566480,22379,RECYCLING BAG RETROSPOT ,5.0,9/13/2011 9:17,2.1,16451.0,United Kingdom
568938,22569,FELTCRAFT CUSHION BUTTERFLY,2.0,9/29/2011 14:46,3.75,17220.0,United Kingdom
542344,22294,HEART FILIGREE DOVE  SMALL,1.0,1/27/2011 11:30,2.46,,United Kingdom
576851,21034,REX CASH+CARRY JUMBO SHOPPER,2.0,11/16/2011 15:41,0.95,15967.0,United Kingdom
545522,22502,PICNIC BASKET WICKER SMALL,4.0,3/3/2011 12:35,5.95,15596.0,United Kingdom
572513,21912,VINTAGE SNAKES & LADDERS,1.0,10/24/2011 14:36,3.75,16728.0,United Kingdom
542373,22960,JAM MAKING SET WITH JARS,12.0,1/27/2011 13:38,3.75,16767.0,United Kingdom
553151,84978,HANGING HEART JAR T-LIGHT HOLDER,24.0,5/13/2011 14:53,1.25,13089.0,United Kingdom
537595,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1.0,12/7/2010 12:29,3.75,13569.0,United Kingdom
547042,85061W,WHITE JEWELLED HEART DECORATION,1.0,3/20/2011 11:00,1.63,,United Kingdom
568528,23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,12.0,9/27/2011 13:32,1.25,13979.0,United Kingdom
560715,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.0,7/20/2011 13:21,6.95,13549.0,United Kingdom
560444,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1.0,7/18/2011 17:15,3.75,13764.0,United Kingdom
552880,22027,TEA PARTY BIRTHDAY CARD,12.0,5/12/2011 9:59,0.42,18245.0,United Kingdom
545714,20712,JUMBO BAG WOODLAND ANIMALS,2.0,3/7/2011 10:12,4.13,,United Kingdom
571601,22191,IVORY DINER WALL CLOCK,1.0,10/18/2011 10:53,8.5,17073.0,United Kingdom
543993,48116,DOORMAT MULTICOLOUR STRIPE,2.0,2/15/2011 10:40,7.95,17612.0,United Kingdom
551747,37413,ICON MUG REVOLUTIONARY,96.0,5/4/2011 11:00,0.39,14298.0,United Kingdom
549188,22472,TV DINNER TRAY DOLLY GIRL,3.0,4/7/2011 10:10,4.95,13731.0,United Kingdom
575753,23266,SET OF 3 WOODEN STOCKING DECORATION,3.0,11/11/2011 10:41,1.25,17841.0,United Kingdom
565429,23394,POSTE FRANCE CUSHION COVER,6.0,9/4/2011 12:54,3.75,16434.0,United Kingdom
538397,22718,CARD CAT AND TREE ,72.0,12/12/2010 11:44,0.36,12753.0,Japan
555510,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1.0,6/3/2011 17:09,3.29,,United Kingdom
576830,20975,12 PENCILS SMALL TUBE RED RETROSPOT,10.0,11/16/2011 14:54,0.65,14898.0,United Kingdom
542716,22470,HEART OF WICKER LARGE,2.0,1/31/2011 14:02,2.95,16407.0,United Kingdom
569898,22539,MINI JIGSAW DOLLY GIRL,1.0,10/6/2011 16:08,0.83,,United Kingdom
544095,22960,JAM MAKING SET WITH JARS,6.0,2/16/2011 9:25,4.25,16509.0,United Kingdom
561203,22470,HEART OF WICKER LARGE,18.0,7/25/2011 15:17,2.95,14232.0,United Kingdom
544476,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1.0,2/21/2011 9:58,2.95,14796.0,United Kingdom
544450,21743,STAR PORTABLE TABLE LIGHT ,4.0,2/20/2011 12:23,2.95,17811.0,United Kingdom
539321,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.0,12/16/2010 19:19,1.95,14723.0,United Kingdom
565378,21213,PACK OF 72 SKULL CAKE CASES,6.0,9/2/2011 15:16,2.08,,United Kingdom
541696,22188,BLACK HEART CARD HOLDER,1.0,1/20/2011 18:08,8.29,,United Kingdom
571441,22029,SPACEBOY BIRTHDAY CARD,1.0,10/17/2011 13:31,0.83,14096.0,United Kingdom
552278,23154,SET OF 4 JAM JAR MAGNETS,1.0,5/8/2011 12:36,2.08,15059.0,United Kingdom
578846,21914,BLUE HARMONICA IN BOX ,12.0,11/25/2011 17:27,1.25,17757.0,United Kingdom
542607,20845,ZINC HEART LATTICE 2 WALL PLANTER,1.0,1/30/2011 13:48,6.35,13148.0,United Kingdom
548894,47593B,SCOTTIE DOGS BABY BIB,1.0,4/4/2011 16:01,0.83,,United Kingdom
540532,22862,LOVE HEART NAPKIN BOX ,4.0,1/9/2011 14:11,4.25,14702.0,United Kingdom
568910,23220,REINDEER HEART DECORATION GOLD,12.0,9/29/2011 13:39,0.83,16574.0,United Kingdom
573585,21986,PACK OF 12 PINK POLKADOT TISSUES,1.0,10/31/2011 14:41,0.83,,United Kingdom
538255,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20.0,12/10/2010 12:33,1.95,14911.0,EIRE
552307,22443,GROW YOUR OWN HERBS SET OF 3,2.0,5/8/2011 15:20,7.95,12748.0,United Kingdom
579399,21479,WHITE SKULL HOT WATER BOTTLE ,2.0,11/29/2011 12:09,4.25,13137.0,United Kingdom
546658,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12.0,3/15/2011 14:21,1.25,15150.0,United Kingdom
540848,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,1.0,1/12/2011 9:26,1.66,,United Kingdom
559052,84251B,"GREETING CARD, STICKY GORDON",2.0,7/5/2011 16:53,0.42,,United Kingdom
556021,20727,LUNCH BAG  BLACK SKULL.,10.0,6/8/2011 12:03,1.65,12921.0,United Kingdom
551986,23068,ALUMINIUM STAMPED HEART,4.0,5/5/2011 14:41,2.49,13888.0,United Kingdom
573248,23329,DECORATIVE WICKER HEART LARGE,4.0,10/28/2011 12:09,1.65,14498.0,United Kingdom
574536,22977,DOLLY GIRL CHILDRENS EGG CUP,4.0,11/4/2011 14:35,1.25,15707.0,United Kingdom
568194,20992,JAZZ HEARTS PURSE NOTEBOOK,24.0,9/25/2011 14:38,0.39,16008.0,United Kingdom
545571,22567,20 DOLLY PEGS RETROSPOT,12.0,3/3/2011 16:34,1.25,17700.0,United Kingdom
539421,22969,HOMEMADE JAM SCENTED CANDLES,24.0,12/17/2010 14:21,1.45,14016.0,EIRE
540352,22819,"BIRTHDAY CARD, RETRO SPOT",5.0,1/6/2011 14:27,0.43,,United Kingdom
556576,20728,LUNCH BAG CARS BLUE,1.0,6/13/2011 13:55,1.65,14606.0,United Kingdom
562560,22748,POPPY'S PLAYHOUSE KITCHEN,4.0,8/5/2011 17:12,2.1,14156.0,EIRE
562256,22841,ROUND CAKE TIN VINTAGE GREEN,2.0,8/3/2011 15:14,7.95,15152.0,United Kingdom
550500,84880,WHITE WIRE EGG HOLDER,1.0,4/18/2011 15:26,15.79,,United Kingdom
537622,79144B,PAINTED LIGHTBULB STAR+ MOON,2.0,12/7/2010 14:30,0.42,13173.0,United Kingdom
569544,22197,POPCORN HOLDER,1.0,10/4/2011 16:33,1.63,,United Kingdom
C565016,23168,CLASSIC CAFE SUGAR DISPENSER,-1.0,8/31/2011 16:28,1.25,15764.0,United Kingdom
540512,21754,HOME BUILDING BLOCK WORD,1.0,1/9/2011 11:39,5.95,17114.0,United Kingdom
539831,22423,REGENCY CAKESTAND 3 TIER,1.0,12/22/2010 13:17,12.75,14606.0,United Kingdom
540536,22681,FRENCH BLUE METAL DOOR SIGN 6,3.0,1/9/2011 14:21,1.25,17757.0,United Kingdom
571039,23294,SET OF 6 SNACK LOAF BAKING CASES,8.0,10/13/2011 12:59,0.83,16121.0,United Kingdom
540415,85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,10.0,1/7/2011 10:47,0.85,16889.0,United Kingdom
545587,37370,RETRO COFFEE MUGS ASSORTED,1.0,3/4/2011 9:46,1.25,14796.0,United Kingdom
562611,22083,PAPER CHAIN KIT RETROSPOT,12.0,8/8/2011 11:58,2.95,17716.0,United Kingdom
567657,21539,RED RETROSPOT BUTTER DISH,3.0,9/21/2011 14:43,4.95,12523.0,France
566334,20972,PINK CREAM FELT CRAFT TRINKET BOX ,144.0,9/12/2011 12:24,1.06,13798.0,United Kingdom
579196,22630,DOLLY GIRL LUNCH BOX,1.0,11/28/2011 15:54,4.13,14096.0,United Kingdom
577050,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10.0,11/17/2011 13:59,0.85,14191.0,United Kingdom
541172,22423,REGENCY CAKESTAND 3 TIER,16.0,1/14/2011 11:47,10.95,13854.0,United Kingdom
577038,37450,CERAMIC CAKE BOWL + HANGING CAKES,1.0,11/17/2011 13:30,2.95,14796.0,United Kingdom
561873,22059,CERAMIC STRAWBERRY DESIGN MUG,1.0,7/31/2011 11:48,1.49,13316.0,United Kingdom
576391,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,24.0,11/15/2011 10:13,6.63,,United Kingdom
540418,21802,CHRISTMAS TREE HEART DECORATION,14.0,1/7/2011 11:04,0.43,,United Kingdom
569998,21524,DOORMAT SPOTTY HOME SWEET HOME,2.0,10/7/2011 8:12,8.25,12540.0,Spain
568908,23513,EMBROIDERED RIBBON REEL SUSIE ,6.0,9/29/2011 13:38,2.08,16653.0,United Kingdom
549193,22554,PLASTERS IN TIN WOODLAND ANIMALS,12.0,4/7/2011 10:24,1.65,12580.0,Germany
551987,22385,JUMBO BAG SPACEBOY DESIGN,2.0,5/5/2011 14:55,2.08,15005.0,United Kingdom
547881,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6.0,3/27/2011 16:08,2.95,13110.0,United Kingdom
545474,22350,ILLUSTRATED CAT BOWL ,6.0,3/3/2011 10:55,2.55,16709.0,United Kingdom
574657,22882,NUMBER TILE VINTAGE FONT 3,1.0,11/6/2011 11:43,1.95,13772.0,United Kingdom
542431,20685,DOORMAT RED RETROSPOT,4.0,1/28/2011 10:28,7.95,12853.0,United Kingdom
549325,85053,FRENCH ENAMEL CANDLEHOLDER,6.0,4/8/2011 10:32,2.1,12717.0,Greece
559991,84660B,BLACK STITCHED WALL CLOCK,3.0,7/14/2011 12:29,0.79,14527.0,United Kingdom
573029,21616,4 PEAR BOTANICAL DINNER CANDLES,12.0,10/27/2011 13:33,1.25,14971.0,United Kingdom
547490,21900,"KEY FOB , SHED",8.0,3/23/2011 11:48,0.65,17507.0,United Kingdom
557973,22697,GREEN REGENCY TEACUP AND SAUCER,6.0,6/24/2011 10:26,2.95,12955.0,United Kingdom
572540,23082,SET 6 PAPER TABLE LANTERN HEARTS ,1.0,10/24/2011 16:17,7.5,,United Kingdom
565648,22460,EMBOSSED GLASS TEALIGHT HOLDER,2.0,9/5/2011 16:22,1.25,18196.0,United Kingdom
568210,22961,JAM MAKING SET PRINTED,12.0,9/25/2011 15:56,1.45,17159.0,United Kingdom
569803,85053,FRENCH ENAMEL CANDLEHOLDER,6.0,10/6/2011 11:48,2.1,13090.0,United Kingdom
548529,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12.0,3/31/2011 16:56,0.83,18223.0,United Kingdom
537618,22585,PACK OF 6 BIRDY GIFT TAGS,24.0,12/7/2010 13:50,1.25,15061.0,United Kingdom
550320,84459A,PINK METAL CHICKEN HEART ,1.0,4/17/2011 12:37,1.49,12748.0,United Kingdom
556244,22673,FRENCH GARDEN SIGN BLUE METAL,2.0,6/9/2011 16:08,1.25,15867.0,United Kingdom
570421,23470,CARD HOLDER LOVE BIRD LARGE ,2.0,10/10/2011 13:34,6.25,13980.0,United Kingdom
569768,21745,GAOLERS KEYS DECORATIVE GARDEN ,24.0,10/6/2011 11:27,3.39,13078.0,United Kingdom
577729,22452,MEASURING TAPE BABUSHKA PINK,6.0,11/21/2011 12:53,2.95,15179.0,United Kingdom
564139,85175,CACTI T-LIGHT CANDLES,16.0,8/23/2011 11:41,0.42,16904.0,United Kingdom
576076,22094,RED RETROSPOT TISSUE BOX,1.0,11/13/2011 16:18,0.39,14382.0,United Kingdom
568721,22794,SWEETHEART WIRE MAGAZINE RACK,1.0,9/28/2011 16:24,15.79,,United Kingdom
545897,22359,GLASS JAR KINGS CHOICE,1.0,3/7/2011 17:22,5.79,,United Kingdom
553013,23201,JUMBO BAG ALPHABET,1.0,5/12/2011 18:19,4.13,,United Kingdom
C564655,23075,PARLOUR CERAMIC WALL HOOK,-14.0,8/26/2011 14:35,4.15,13159.0,United Kingdom
563538,79321,CHILLI LIGHTS,3.0,8/17/2011 11:48,5.75,17841.0,United Kingdom
563377,22197,POPCORN HOLDER,24.0,8/16/2011 10:44,0.85,15002.0,United Kingdom
565475,20725,LUNCH BAG RED RETROSPOT,100.0,9/5/2011 10:47,1.45,14156.0,EIRE
