InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Month
540604,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-01-10 11:38:00,0.55,15326.0,United Kingdom,13.2,1.0
540568,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,2011-01-10 11:22:00,3.39,15039.0,United Kingdom,81.36,1.0
542618,20977,36 PENCILS TUBE WOODLAND,1,2011-01-30 15:52:00,1.25,14502.0,United Kingdom,1.25,1.0
551987,22994,TRAVEL CARD WALLET RETROSPOT,10,2011-05-05 14:55:00,0.42,15005.0,United Kingdom,4.2,5.0
536520,22918,HERB MARKER PARSLEY,2,2010-12-01 12:43:00,0.65,14729.0,United Kingdom,1.3,12.0
549412,82494L,WOODEN FRAME ANTIQUE WHITE ,24,2011-04-08 11:43:00,2.55,14258.0,United Kingdom,61.2,4.0
546993,21756,BATH BUILDING BLOCK WORD,2,2011-03-18 13:19:00,5.95,17921.0,United Kingdom,11.9,3.0
549562,22270,HAPPY EASTER HANGING DECORATION,2,2011-04-10 13:48:00,3.75,13232.0,United Kingdom,7.5,4.0
546321,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,2011-03-11 09:39:00,0.65,16475.0,United Kingdom,7.800000000000001,3.0
546670,22995,TRAVEL CARD WALLET SUKI,4,2011-03-15 15:37:00,0.42,13451.0,United Kingdom,1.68,3.0
545022,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-02-25 14:24:00,3.75,12921.0,United Kingdom,15.0,2.0
540349,85099B,JUMBO BAG RED RETROSPOT,10,2011-01-06 14:07:00,1.95,15379.0,United Kingdom,19.5,1.0
537467,21733,RED HANGING HEART T-LIGHT HOLDER,2,2010-12-07 10:36:00,2.95,16059.0,United Kingdom,5.9,12.0
545081,22084,PAPER CHAIN KIT EMPIRE,6,2011-02-28 10:35:00,2.95,16057.0,United Kingdom,17.700000000000003,2.0
550712,22975,SPACEBOY CHILDRENS EGG CUP,12,2011-04-20 11:06:00,1.25,15159.0,United Kingdom,15.0,4.0
538626,84991,60 TEATIME FAIRY CAKE CASES,6,2010-12-13 12:57:00,0.55,17338.0,United Kingdom,3.3000000000000003,12.0
541570,85049C,ROMANTIC PINKS RIBBONS ,144,2011-01-19 12:34:00,1.06,14646.0,Netherlands,152.64,1.0
536637,22731,3D CHRISTMAS STAMPS STICKERS ,4,2010-12-02 11:35:00,1.25,18041.0,United Kingdom,5.0,12.0
539463,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-19 11:19:00,0.95,18077.0,United Kingdom,0.95,12.0
552277,22371,AIRLINE BAG VINTAGE TOKYO 78,2,2011-05-08 12:34:00,4.25,13642.0,United Kingdom,8.5,5.0
541587,79321,CHILLI LIGHTS,24,2011-01-19 14:39:00,4.25,17841.0,United Kingdom,102.0,1.0
547862,72741,GRAND CHOCOLATECANDLE,9,2011-03-27 12:54:00,1.45,12841.0,United Kingdom,13.05,3.0
548739,22698,PINK REGENCY TEACUP AND SAUCER,4,2011-04-04 11:28:00,2.95,15493.0,United Kingdom,11.8,4.0
547358,22714,CARD BIRTHDAY COWBOY,12,2011-03-22 12:25:00,0.42,15998.0,United Kingdom,5.04,3.0
543280,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-02-06 14:56:00,0.85,14438.0,United Kingdom,8.5,2.0
542862,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-02-01 11:51:00,0.55,14606.0,United Kingdom,1.1,2.0
542369,POST,POSTAGE,1,2011-01-27 13:08:00,18.0,12645.0,Germany,18.0,1.0
546770,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-16 15:17:00,4.95,12523.0,France,14.85,3.0
551529,21086,SET/6 RED SPOTTY PAPER CUPS,24,2011-05-01 13:18:00,0.65,12524.0,Germany,15.6,5.0
547662,22914,BLUE COAT RACK PARIS FASHION,1,2011-03-24 13:12:00,4.95,14085.0,United Kingdom,4.95,3.0
540682,21879,HEARTS GIFT TAPE,24,2011-01-10 16:29:00,0.19,16112.0,United Kingdom,4.5600000000000005,1.0
539826,20711,JUMBO BAG TOYS ,9,2010-12-22 12:39:00,1.95,15044.0,United Kingdom,17.55,12.0
538035,22741,FUNKY DIVA PEN,48,2010-12-09 13:03:00,0.85,16065.0,United Kingdom,40.8,12.0
539496,85199S,SMALL HANGING IVORY/RED WOOD BIRD,24,2010-12-20 10:38:00,0.42,13050.0,United Kingdom,10.08,12.0
545558,82582,AREA PATROLLED METAL SIGN,36,2011-03-03 15:31:00,2.1,17873.0,United Kingdom,75.60000000000001,3.0
541283,22804,CANDLEHOLDER PINK HANGING HEART,6,2011-01-17 12:34:00,2.95,12820.0,United Kingdom,17.700000000000003,1.0
540288,21624,VINTAGE UNION JACK DOORSTOP,2,2011-01-06 12:45:00,5.95,17634.0,United Kingdom,11.9,1.0
536851,22276,WASH BAG VINTAGE ROSE PAISLEY,36,2010-12-03 09:49:00,2.55,12967.0,United Kingdom,91.8,12.0
544569,21078,SET/20 STRAWBERRY PAPER NAPKINS ,6,2011-02-21 12:58:00,0.85,16980.0,United Kingdom,5.1,2.0
549995,20932,PINK POT PLANT CANDLE,8,2011-04-14 08:32:00,3.75,16131.0,United Kingdom,30.0,4.0
551558,21137,BLACK RECORD COVER FRAME,1,2011-05-03 10:41:00,3.75,17841.0,United Kingdom,3.75,5.0
547871,85169C,EAU DE NIL LOVE BIRD CANDLE,1,2011-03-27 14:28:00,1.25,16931.0,United Kingdom,1.25,3.0
537693,POST,POSTAGE,1,2010-12-08 10:45:00,18.0,12441.0,France,18.0,12.0
536624,22727,ALARM CLOCK BAKELIKE RED ,24,2010-12-02 10:45:00,3.75,13418.0,United Kingdom,90.0,12.0
543020,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-02-02 14:29:00,6.45,15005.0,United Kingdom,6.45,2.0
552548,21755,LOVE BUILDING BLOCK WORD,6,2011-05-10 10:35:00,5.95,16357.0,United Kingdom,35.7,5.0
552285,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-05-08 12:58:00,1.25,14684.0,United Kingdom,30.0,5.0
545294,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,3,2011-03-01 12:07:00,2.95,17965.0,United Kingdom,8.850000000000001,3.0
549258,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-04-07 12:30:00,2.08,13102.0,United Kingdom,24.96,4.0
546230,84997B,CHILDRENS CUTLERY RETROSPOT RED ,6,2011-03-10 12:26:00,4.15,13871.0,United Kingdom,24.9,3.0
544573,22973,CHILDREN'S CIRCUS PARADE MUG,12,2011-02-21 13:40:00,1.65,12621.0,Germany,19.8,2.0
549127,22457,NATURAL SLATE HEART CHALKBOARD ,48,2011-04-06 14:23:00,2.55,14403.0,United Kingdom,122.4,4.0
540951,22131,FOOD CONTAINER SET 3 LOVE HEART ,5,2011-01-12 13:10:00,1.95,13113.0,United Kingdom,9.75,1.0
545221,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-03-01 08:35:00,5.95,14740.0,United Kingdom,11.9,3.0
547063,84836,ZINC METAL HEART DECORATION,12,2011-03-20 13:33:00,1.25,14769.0,United Kingdom,15.0,3.0
544444,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-02-20 10:51:00,7.95,13246.0,United Kingdom,7.95,2.0
550361,23050,RECYCLED ACAPULCO MAT GREEN,2,2011-04-18 11:10:00,8.25,13082.0,United Kingdom,16.5,4.0
551885,22723,SET OF 6 HERB TINS SKETCHBOOK,4,2011-05-05 09:18:00,3.95,16700.0,United Kingdom,15.8,5.0
545417,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-03-02 13:42:00,2.1,15622.0,United Kingdom,25.200000000000003,3.0
551385,22916,HERB MARKER THYME,6,2011-04-28 11:38:00,0.65,16814.0,United Kingdom,3.9,4.0
543815,22860,EASTER TIN CHICKS PINK DAISY,2,2011-02-13 15:18:00,1.65,17255.0,United Kingdom,3.3,2.0
541839,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-01-23 11:15:00,0.95,17769.0,United Kingdom,1.9,1.0
552529,46000S,POLYESTER FILLER PAD 40x40cm,20,2011-05-09 17:24:00,1.45,14541.0,United Kingdom,29.0,5.0
537154,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-05 13:05:00,1.45,15808.0,United Kingdom,5.8,12.0
551650,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-05-03 12:02:00,1.25,13089.0,United Kingdom,15.0,5.0
547962,21896,POTTING SHED TWINE,6,2011-03-28 15:38:00,2.1,12957.0,United Kingdom,12.6,3.0
548974,22904,CALENDAR PAPER CUT DESIGN,6,2011-04-05 11:47:00,2.95,15194.0,United Kingdom,17.700000000000003,4.0
540976,21877,HOME SWEET HOME MUG,12,2011-01-12 15:00:00,1.25,12652.0,France,15.0,1.0
549052,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-04-06 10:19:00,1.25,17682.0,United Kingdom,15.0,4.0
537081,22553,PLASTERS IN TIN SKULLS,12,2010-12-05 12:00:00,1.65,15332.0,Lithuania,19.8,12.0
537780,21246,RED RETROSPOT BIG BOWL,2,2010-12-08 12:45:00,4.95,17324.0,United Kingdom,9.9,12.0
537595,21586,KINGS CHOICE GIANT TUBE MATCHES,2,2010-12-07 12:29:00,2.55,13569.0,United Kingdom,5.1,12.0
550303,22711,WRAP CIRCUS PARADE,25,2011-04-17 10:21:00,0.42,18213.0,United Kingdom,10.5,4.0
538379,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,4,2010-12-12 11:26:00,1.25,17126.0,United Kingdom,5.0,12.0
549018,21136,PAINTED METAL PEARS ASSORTED,24,2011-04-05 15:21:00,1.69,17492.0,United Kingdom,40.56,4.0
550274,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,2011-04-15 12:23:00,3.75,15498.0,United Kingdom,15.0,4.0
545085,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,1,2011-02-28 11:19:00,1.65,15039.0,United Kingdom,1.65,2.0
547903,48188,DOORMAT WELCOME PUPPIES,1,2011-03-28 11:59:00,7.95,15039.0,United Kingdom,7.95,3.0
544040,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2011-02-15 11:40:00,2.95,14701.0,United Kingdom,5.9,2.0
546212,84991,60 TEATIME FAIRY CAKE CASES,240,2011-03-10 11:33:00,0.42,14156.0,EIRE,100.8,3.0
536522,21197,MULTICOLOUR  CONFETTI IN TUBE,1,2010-12-01 12:49:00,1.65,15012.0,United Kingdom,1.65,12.0
546670,22248,DECORATION  PINK CHICK MAGIC GARDEN,5,2011-03-15 15:37:00,0.85,13451.0,United Kingdom,4.25,3.0
545819,21181,PLEASE ONE PERSON METAL SIGN,3,2011-03-07 12:31:00,2.1,16356.0,United Kingdom,6.300000000000001,3.0
545157,84836,ZINC METAL HEART DECORATION,12,2011-02-28 13:27:00,1.25,14239.0,United Kingdom,15.0,2.0
537199,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,2010-12-05 14:06:00,1.25,15894.0,United Kingdom,1.25,12.0
537042,21011,GLITTER SNOW PEAR TREE DECORATION,2,2010-12-05 10:45:00,1.45,13838.0,United Kingdom,2.9,12.0
544677,22583,PACK OF 6 HANDBAG GIFT BOXES,1,2011-02-22 16:13:00,2.55,18196.0,United Kingdom,2.55,2.0
549323,22523,CHILDS GARDEN FORK PINK,12,2011-04-08 10:26:00,0.85,12999.0,United Kingdom,10.2,4.0
539471,22133,PINK LOVE HEART SHAPE CUP,1,2010-12-19 14:16:00,0.85,17358.0,United Kingdom,0.85,12.0
545764,22745,POPPY'S PLAYHOUSE BEDROOM ,8,2011-03-07 12:00:00,2.1,13408.0,United Kingdom,16.8,3.0
537375,22977,DOLLY GIRL CHILDRENS EGG CUP,3,2010-12-06 12:55:00,1.25,17019.0,United Kingdom,3.75,12.0
547490,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,4,2011-03-23 11:48:00,1.65,17507.0,United Kingdom,6.6,3.0
552340,21922,UNION STRIPE WITH FRINGE  HAMMOCK,60,2011-05-09 12:04:00,6.95,17949.0,United Kingdom,417.0,5.0
546084,21749,LARGE RED RETROSPOT WINDMILL,6,2011-03-09 11:28:00,2.1,14112.0,United Kingdom,12.6,3.0
543652,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-02-11 10:15:00,1.95,15544.0,United Kingdom,15.6,2.0
537362,21224,SET/4 SKULL BADGES,5,2010-12-06 12:34:00,1.25,17596.0,United Kingdom,6.25,12.0
538205,22561,WOODEN SCHOOL COLOURING SET,3,2010-12-10 11:24:00,1.65,12748.0,United Kingdom,4.949999999999999,12.0
550493,85188A,GREEN METAL SWINGING BUNNY,4,2011-04-18 14:50:00,0.85,15311.0,United Kingdom,3.4,4.0
536425,22637,PIGGY BANK RETROSPOT ,12,2010-12-01 12:08:00,2.55,13758.0,United Kingdom,30.6,12.0
537192,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,2010-12-05 13:42:00,0.85,16402.0,United Kingdom,0.85,12.0
551412,22804,CANDLEHOLDER PINK HANGING HEART,3,2011-04-28 13:31:00,2.95,15508.0,United Kingdom,8.850000000000001,4.0
539112,22112,CHOCOLATE HOT WATER BOTTLE,3,2010-12-16 11:15:00,4.95,13468.0,United Kingdom,14.85,12.0
546984,22385,JUMBO BAG SPACEBOY DESIGN,2,2011-03-18 12:35:00,1.95,15019.0,United Kingdom,3.9,3.0
547201,20685,DOORMAT RED RETROSPOT,10,2011-03-21 13:35:00,6.75,13113.0,United Kingdom,67.5,3.0
540907,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-01-12 11:52:00,0.29,13488.0,United Kingdom,13.919999999999998,1.0
546510,23180,MUM'S KITCHEN CLOCK,4,2011-03-14 12:17:00,4.95,16353.0,United Kingdom,19.8,3.0
550274,22089,PAPER BUNTING VINTAGE PAISLEY,6,2011-04-15 12:23:00,2.95,15498.0,United Kingdom,17.700000000000003,4.0
547498,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2011-03-23 12:24:00,0.39,15021.0,United Kingdom,0.39,3.0
547359,22488,NATURAL SLATE RECTANGLE CHALKBOARD,2,2011-03-22 12:27:00,1.65,15719.0,United Kingdom,3.3,3.0
546753,22740,POLKADOT PEN,48,2011-03-16 13:00:00,0.85,16383.0,United Kingdom,40.8,3.0
552404,20836,FRENCH PAISLEY CUSHION COVER,12,2011-05-09 12:39:00,0.83,15932.0,United Kingdom,9.96,5.0
541970,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-01-24 13:48:00,8.5,15179.0,United Kingdom,17.0,1.0
538863,22365,DOORMAT RESPECTABLE HOUSE,2,2010-12-14 14:15:00,7.95,16919.0,United Kingdom,15.9,12.0
539468,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2010-12-19 13:31:00,2.95,15044.0,United Kingdom,35.400000000000006,12.0
542406,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,1,2011-01-27 16:13:00,1.25,17757.0,United Kingdom,1.25,1.0
542611,22804,CANDLEHOLDER PINK HANGING HEART,6,2011-01-30 14:13:00,2.95,15415.0,United Kingdom,17.700000000000003,1.0
537225,21807,WHITE CHRISTMAS STAR DECORATION,36,2010-12-05 16:41:00,0.42,12748.0,United Kingdom,15.12,12.0
544294,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-02-17 12:42:00,2.95,15601.0,United Kingdom,17.700000000000003,2.0
550618,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-04-19 13:09:00,0.55,14156.0,EIRE,13.2,4.0
544914,20728,LUNCH BAG CARS BLUE,10,2011-02-24 15:39:00,1.65,16722.0,United Kingdom,16.5,2.0
550662,22379,RECYCLING BAG RETROSPOT ,10,2011-04-20 09:29:00,2.1,15078.0,United Kingdom,21.0,4.0
537842,21713,CITRONELLA CANDLE FLOWERPOT,4,2010-12-08 15:12:00,2.1,13140.0,United Kingdom,8.4,12.0
538076,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-12-09 14:15:00,3.75,15311.0,United Kingdom,3.75,12.0
542407,22714,CARD BIRTHDAY COWBOY,12,2011-01-27 16:17:00,0.42,15601.0,United Kingdom,5.04,1.0
540525,21355,TOAST ITS - I LOVE YOU ,12,2011-01-09 13:02:00,1.25,16833.0,United Kingdom,15.0,1.0
542057,21870,I CAN ONLY PLEASE ONE PERSON MUG,2,2011-01-25 11:57:00,1.25,15967.0,United Kingdom,2.5,1.0
550781,84597C,RETRO PINK BALL ASHTRAY ,12,2011-04-20 13:43:00,1.25,13097.0,United Kingdom,15.0,4.0
552322,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,2011-05-09 09:16:00,1.65,17049.0,United Kingdom,16.5,5.0
541850,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1,2011-01-23 13:58:00,9.95,14224.0,United Kingdom,9.95,1.0
547002,21155,RED RETROSPOT PEG BAG,6,2011-03-18 14:02:00,2.55,12878.0,United Kingdom,15.3,3.0
545907,22436,12 COLOURED PARTY BALLOONS,20,2011-03-08 09:24:00,0.65,15806.0,United Kingdom,13.0,3.0
537955,22385,JUMBO BAG SPACEBOY DESIGN,1,2010-12-09 11:28:00,1.95,16782.0,United Kingdom,1.95,12.0
547867,22302,COFFEE MUG PEARS  DESIGN,6,2011-03-27 13:56:00,2.55,13357.0,United Kingdom,15.3,3.0
551287,21094,SET/6 RED SPOTTY PAPER PLATES,8,2011-04-27 14:17:00,0.85,17961.0,United Kingdom,6.8,4.0
543802,22070,SMALL RED RETROSPOT MUG IN BOX ,1,2011-02-13 12:03:00,3.75,13742.0,United Kingdom,3.75,2.0
544886,21239,PINK  POLKADOT CUP,16,2011-02-24 11:42:00,0.85,12582.0,Finland,13.6,2.0
546731,47566B,TEA TIME PARTY BUNTING,12,2011-03-16 11:39:00,4.95,13089.0,United Kingdom,59.400000000000006,3.0
551524,22386,JUMBO BAG PINK POLKADOT,10,2011-05-01 12:35:00,2.08,16401.0,United Kingdom,20.8,5.0
545995,48194,DOORMAT HEARTS,2,2011-03-08 13:54:00,7.95,15023.0,United Kingdom,15.9,3.0
550612,22498,WOODEN REGATTA BUNTING,1,2011-04-19 12:26:00,5.95,14662.0,United Kingdom,5.95,4.0
545637,22976,CIRCUS PARADE CHILDRENS EGG CUP ,36,2011-03-04 12:16:00,1.25,15514.0,United Kingdom,45.0,3.0
538529,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-12-13 10:24:00,4.95,14290.0,United Kingdom,29.700000000000003,12.0
550651,23181,BULL DOG BOTTLE TOP WALL CLOCK,1,2011-04-19 16:52:00,8.25,15436.0,United Kingdom,8.25,4.0
547906,23176,ABC TREASURE BOOK BOX ,1,2011-03-28 12:13:00,2.25,14410.0,United Kingdom,2.25,3.0
539002,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,3,2010-12-15 12:30:00,9.95,14527.0,United Kingdom,29.85,12.0
542737,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-01-31 15:52:00,1.95,15058.0,United Kingdom,1.95,1.0
545545,22676,FRENCH BLUE METAL DOOR SIGN 1,1,2011-03-03 15:02:00,1.25,17841.0,United Kingdom,1.25,3.0
537389,21407,BROWN CHECK CAT DOORSTOP ,1,2010-12-06 13:41:00,4.25,17757.0,United Kingdom,4.25,12.0
547497,21866,UNION JACK FLAG LUGGAGE TAG,4,2011-03-23 12:15:00,1.25,14461.0,United Kingdom,5.0,3.0
548554,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,144,2011-04-01 09:19:00,0.42,13694.0,United Kingdom,60.48,4.0
551250,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-04-27 12:00:00,0.55,17841.0,United Kingdom,0.55,4.0
549569,84692,BOX OF 24 COCKTAIL PARASOLS,2,2011-04-10 15:15:00,0.42,15547.0,United Kingdom,0.84,4.0
547066,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-03-20 13:41:00,1.25,12921.0,United Kingdom,30.0,3.0
547061,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,12,2011-03-20 13:21:00,1.45,12407.0,Belgium,17.4,3.0
547623,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,48,2011-03-24 11:29:00,0.19,15641.0,United Kingdom,9.12,3.0
543355,79066K,RETRO MOD TRAY,1,2011-02-07 13:50:00,0.85,16033.0,United Kingdom,0.85,2.0
